Rank,Country,Score,Rank change(2018),Score change.(2018),Score change.(2006)
109,Kenya,0.671,–33,-0.029,0.023
110,Belize,0.671,1,0.008,n/a
111,Sierra Leone,0.668,3,0.007,n/a
112,India,0.668,–4,0.003,0.066
113,Guatemala,0.666,–6,-0.002,0.059
114,Myanmar,0.665,–26,-0.024,n/a
115,Mauritius,0.665,–6,0.002,0.032
116,Malawi,0.664,–4,0.002,0.02
117,Timor-Leste,0.662,7,0.025,n/a
118,Angola,0.66,7,0.027,0.056
119,Benin,0.658,–1,0.003,0.08
120,United Arab Emirates,0.655,1,0.013,0.063
121,Japan,0.652,–11,-0.01,0.008
122,Kuwait,0.65,4,0.02,0.016
123,Maldives,0.646,–10,-0.016,n/a
124,Tunisia,0.644,–5,-0.004,0.015
125,Guinea,0.642,–9,-0.014,n/a
126,Vanuatu*,0.638,n/a,n/a,n/a
127,Papua New Guinea*,0.635,n/a,n/a,n/a
128,Nigeria,0.635,5,0.015,0.025
129,Burkina Faso,0.635,–,0.006,0.049
130,Turkey,0.635,–,0.007,0.05
131,Bhutan,0.635,–9,-0.003,n/a
132,Algeria,0.634,–4,0.005,0.032
133,Bahrain,0.629,–1,0.002,0.04
134,Egypt,0.629,1,0.015,0.051
135,Qatar,0.629,–8,–,n/a
136,"Gambia, The",0.628,–16,-0.015,-0.017
137,Tajikistan,0.626,–14,-0.012,n/a
138,Jordan,0.623,–,0.018,0.012
139,Mali,0.621,4,0.039,0.021
140,Togo,0.615,–6,-0.003,n/a
141,Mauritania,0.614,–5,0.006,0.03
142,Côte d'Ivoire,0.606,–11,-0.021,n/a
143,Morocco,0.605,–6,-0.002,0.022
144,Oman,0.602,–5,-0.003,n/a
145,Lebanon,0.599,–5,0.004,n/a
146,Saudi Arabia,0.599,–5,0.01,0.075
147,Chad,0.596,–2,0.016,0.071
148,"Iran, Islamic Rep.",0.584,–6,-0.005,0.004
149,"Congo, Dem. Rep.",0.578,–5,-0.003,n/a
150,Syria,0.567,–4,-0.001,n/a
151,Pakistan,0.564,–3,0.014,0.02
152,Iraq,0.53,–5,-0.021,n/a
153,Yemen,0.494,–4,-0.006,0.034
